player,team,total_runs,batting_avg,batting_sr,total_wickets,bowling_avg,bowling_economy,catches,stumpings
T Natarajan,India,0.0,0.0,0.0,12.0,54.0,7.15,0.0,0.0
DJ Mitchell,New Zealand,757836.0,36.96388888888886,91.73833333333468,4212.0,4.64611111111111,3.500000000000011,13284.0,0.0
MM Ali,England,164864.0,14.22625000000009,70.01000000000036,7424.0,30.248749999999994,5.078125,4608.0,0.0
EJG Morgan,England,27392.0,28.91624999999999,75.74250000000015,0.0,0.0,0.0,256.0,0.0
SW Billings,England,23373.0,25.522857142857145,68.07571428571444,0.0,0.0,0.0,343.0,49.0
JT Smuts,South Africa,1620.0,39.166666666666664,83.05000000000001,36.0,47.666666666666664,5.753333333333335,27.0,0.0
L Sipamla,South Africa,126.0,0.0,50.47333333333333,18.0,13.666666666666666,6.116666666666666,9.0,0.0
A Nortje,South Africa,3872.0,2.8181818181818183,39.56818181818176,3388.0,19.176363636363636,6.260000000000021,121.0,0.0
CR Woakes,England,42834.0,18.799999999999944,65.32181818181746,3993.0,37.620000000000054,4.484545454545451,726.0,0.0
RD Chahar,India,13.0,13.0,52.0,3.0,18.0,5.4,0.0,0.0
JM Vince,England,13428.0,27.805,79.30500000000005,72.0,9.333333333333334,1.6533333333333333,216.0,0.0
Z Crawley,England,1791.0,30.333333333333332,99.03666666666662,0.0,0.0,0.0,72.0,0.0
JA Simpson,England,20.0,10.0,64.51,0.0,0.0,0.0,9.0,0.0
WA Agar,Australia,50.0,25.0,119.04,0.0,0.0,3.54,0.0,0.0
AJ Turner,Australia,268.0,16.75,85.02000000000001,8.0,15.0,2.14,12.0,0.0
MC Henriques,Australia,324.0,8.666666666666666,100.07333333333335,9.0,11.333333333333334,3.95,18.0,0.0
RA Jadeja,India,175616.0,22.65625,100.58312499999913,17664.0,28.680624999999925,4.726249999999995,5888.0,0.0
KW Richardson,Australia,96.0,0.0,109.09,20.0,46.0,6.5249999999999995,0.0,0.0
MA Agarwal,India,344.0,18.5,102.965,0.0,0.0,5.0,8.0,0.0
KM Jadhav,India,35.0,35.0,83.33,0.0,0.0,0.0,2.0,0.0
TA Blundell,New Zealand,6650.0,33.466,94.82000000000012,0.0,0.0,0.0,325.0,50.0
JL Denly,England,153.0,76.5,84.06,0.0,0.0,6.83,0.0,0.0
CJ Jordan,England,60.0,7.0,48.885,12.0,47.0,6.635,0.0,0.0
